,pair,p1,p2,OR,OR_lci,OR_uci,OR_p-value_original,Q-test,Q-test p-value,p_bh_heatmap,p_bh_scatter,within_domain
656,Coronary Heart Disease Alcohol Problems,Coronary Heart Disease,Alcohol Problems,1.15,1.13,1.16,<0.0001,115.75,<0.0001,<0.0001,<0.0001,0
657,Atrial fibrillation Primary Malignancy_Breast,Atrial fibrillation,Primary Malignancy_Breast,1.15,1.13,1.17,<0.0001,1.2,0.27,<0.0001,<0.0001,0
658,Primary Malignancy_Other Skin and subcutaneous tissue Rheumatoid Arthritis,Primary Malignancy_Other Skin and subcutaneous tissue,Rheumatoid Arthritis,1.15,1.12,1.18,<0.0001,3.7,0.05,<0.0001,<0.0001,0
659,Psoriasis Female genital prolapse,Psoriasis,Female genital prolapse,1.15,1.12,1.17,<0.0001,9.24,<0.0001,<0.0001,<0.0001,0
660,Migraine Atrial fibrillation,Migraine,Atrial fibrillation,1.15,1.13,1.17,<0.0001,118.06,<0.0001,<0.0001,<0.0001,0
661,Glaucoma Spondylosis,Glaucoma,Spondylosis,1.15,1.13,1.16,<0.0001,1.5,0.22,<0.0001,<0.0001,0
662,Transient ischaemic attack Glaucoma,Transient ischaemic attack,Glaucoma,1.15,1.12,1.17,<0.0001,48.87,<0.0001,<0.0001,<0.0001,0
663,Coronary Heart Disease Tinnitus,Coronary Heart Disease,Tinnitus,1.15,1.13,1.16,<0.0001,60.55,<0.0001,<0.0001,<0.0001,0
664,Thromboembolic Primary Malignancy_Other Skin and subcutaneous tissue,Thromboembolic,Primary Malignancy_Other Skin and subcutaneous tissue,1.15,1.13,1.17,<0.0001,0.84,0.36,<0.0001,<0.0001,0
665,Anxiety disorders Atrial fibrillation,Anxiety disorders,Atrial fibrillation,1.15,1.14,1.16,<0.0001,35.13,<0.0001,<0.0001,<0.0001,0
666,Hypothyroidism (without hyper) All stroke,Hypothyroidism (without hyper),All stroke,1.15,1.13,1.17,<0.0001,11.69,<0.0001,<0.0001,<0.0001,0
667,Hyperthyroidism (without hypo) Carpal tunnel syndrome,Hyperthyroidism (without hypo),Carpal tunnel syndrome,1.15,1.12,1.18,<0.0001,11.27,<0.0001,<0.0001,<0.0001,0
668,"Scoliosis Schizophrenia, schizotypal and delusional disorders",Scoliosis,"Schizophrenia, schizotypal and delusional disorders",1.15,1.06,1.25,<0.0001,23.76,<0.0001,<0.0001,<0.0001,0
669,Glaucoma Intervertebral disc disorders,Glaucoma,Intervertebral disc disorders,1.15,1.13,1.17,<0.0001,26.16,<0.0001,<0.0001,<0.0001,0
670,Diabetes type 2 Polymyalgia Rheumatica,Diabetes type 2,Polymyalgia Rheumatica,1.15,1.13,1.17,<0.0001,6.8,0.01,<0.0001,<0.0001,0
671,Atrial fibrillation Spondylosis,Atrial fibrillation,Spondylosis,1.15,1.14,1.16,<0.0001,76.1,<0.0001,<0.0001,<0.0001,0
672,Psoriasis Nonrheumatic valve disease,Psoriasis,Nonrheumatic valve disease,1.15,1.12,1.18,<0.0001,14.78,<0.0001,<0.0001,<0.0001,0
673,Irritable bowel syndrome COPD,Irritable bowel syndrome,COPD,1.15,1.13,1.17,<0.0001,13,<0.0001,<0.0001,<0.0001,0
674,Enthesopathies of the shoulder Ulcerative colitis,Enthesopathies of the shoulder,Ulcerative colitis,1.15,1.11,1.19,<0.0001,0.71,0.4,<0.0001,<0.0001,0
675,Hypothyroidism (without hyper) Enthesopathies of the lower body,Hypothyroidism (without hyper),Enthesopathies of the lower body,1.15,1.14,1.16,<0.0001,48.85,<0.0001,<0.0001,<0.0001,0
676,Heart failure Urolithiasis,Heart failure,Urolithiasis,1.15,1.12,1.18,<0.0001,98.54,<0.0001,<0.0001,<0.0001,0
677,Psoriasis Tinnitus,Psoriasis,Tinnitus,1.15,1.13,1.17,<0.0001,6.41,0.01,<0.0001,<0.0001,0
678,Hyperthyroidism (without hypo) Enthesopathies of the upper body,Hyperthyroidism (without hypo),Enthesopathies of the upper body,1.15,1.13,1.17,<0.0001,31.14,<0.0001,<0.0001,<0.0001,0
679,Osteoporosis Primary Malignancy_Bladder,Osteoporosis,Primary Malignancy_Bladder,1.15,1.11,1.2,<0.0001,0,0.96,<0.0001,<0.0001,0
680,All stroke Spondylolisthesis,All stroke,Spondylolisthesis,1.15,1.1,1.21,<0.0001,0.21,0.64,<0.0001,<0.0001,0
681,Abdominal aortic aneurysm Obesity,Abdominal aortic aneurysm,Obesity,1.15,1.11,1.19,<0.0001,18.69,<0.0001,<0.0001,<0.0001,0
682,Glaucoma Irritable bowel syndrome,Glaucoma,Irritable bowel syndrome,1.15,1.13,1.17,<0.0001,21.38,<0.0001,<0.0001,<0.0001,0
683,Ischaemic stroke and TIA Chronic sinusitis,Ischaemic stroke and TIA,Chronic sinusitis,1.15,1.13,1.17,<0.0001,0.62,0.43,<0.0001,<0.0001,0
684,Psoriasis Essential tremor,Psoriasis,Essential tremor,1.15,1.1,1.21,<0.0001,0.73,0.39,<0.0001,<0.0001,0
685,Bursitis Primary Malignancy_Bladder,Bursitis,Primary Malignancy_Bladder,1.15,1.11,1.2,<0.0001,2.05,0.15,<0.0001,<0.0001,0
686,Ulcerative colitis Atrial fibrillation,Ulcerative colitis,Atrial fibrillation,1.15,1.11,1.2,<0.0001,7.06,0.01,<0.0001,<0.0001,0
687,Hyperthyroidism (without hypo) Enthesopathies of the shoulder,Hyperthyroidism (without hypo),Enthesopathies of the shoulder,1.15,1.13,1.18,<0.0001,35.14,<0.0001,<0.0001,<0.0001,0
688,Transient ischaemic attack Psoriasis,Transient ischaemic attack,Psoriasis,1.15,1.12,1.18,<0.0001,6.35,0.01,<0.0001,<0.0001,0
689,Vitamin B12 deficiency anaemia Atrial fibrillation,Vitamin B12 deficiency anaemia,Atrial fibrillation,1.15,1.13,1.17,<0.0001,0.46,0.5,<0.0001,<0.0001,0
690,COPD Hypothyroidism (without hyper),COPD,Hypothyroidism (without hyper),1.15,1.14,1.17,<0.0001,21.8,<0.0001,<0.0001,<0.0001,0
691,Hyperthyroidism (without hypo) Allergic and chronic rhinitis,Hyperthyroidism (without hypo),Allergic and chronic rhinitis,1.15,1.13,1.18,<0.0001,18.89,<0.0001,<0.0001,<0.0001,0
692,Raynaud's syndrome Hyperthyroidism (without hypo),Raynaud's syndrome,Hyperthyroidism (without hypo),1.15,1.08,1.23,<0.0001,0.35,0.56,<0.0001,<0.0001,0
693,Glaucoma Spondylolisthesis,Glaucoma,Spondylolisthesis,1.15,1.11,1.2,<0.0001,1.52,0.22,<0.0001,<0.0001,0
694,Gastro-oesophageal reflux disease All stroke,Gastro-oesophageal reflux disease,All stroke,1.15,1.14,1.17,<0.0001,32.89,<0.0001,<0.0001,<0.0001,0
695,Insomnia Gout,Insomnia,Gout,1.16,1.14,1.17,<0.0001,186.61,<0.0001,<0.0001,<0.0001,0
696,Raynaud's syndrome Primary Malignancy_Bladder,Raynaud's syndrome,Primary Malignancy_Bladder,1.16,1.05,1.27,<0.0001,8.82,<0.0001,<0.0001,<0.0001,0
697,Osteoporosis Female genital prolapse,Osteoporosis,Female genital prolapse,1.16,1.14,1.17,<0.0001,4.73,0.03,<0.0001,<0.0001,0
698,Carpal tunnel syndrome Retinal detachments and breaks,Carpal tunnel syndrome,Retinal detachments and breaks,1.16,1.12,1.2,<0.0001,3.51,0.06,<0.0001,<0.0001,0
699,Chronic kidney disease Psoriasis,Chronic kidney disease,Psoriasis,1.16,1.14,1.17,<0.0001,27.16,<0.0001,<0.0001,<0.0001,0
700,Iron deficiency anaemia Female genital prolapse,Iron deficiency anaemia,Female genital prolapse,1.16,1.14,1.17,<0.0001,9.89,<0.0001,<0.0001,<0.0001,0
701,Enthesopathies of the upper body Hypothyroidism (without hyper),Enthesopathies of the upper body,Hypothyroidism (without hyper),1.16,1.15,1.17,<0.0001,65.8,<0.0001,<0.0001,<0.0001,0
702,Intervertebral disc disorders Hypertension,Intervertebral disc disorders,Hypertension,1.16,1.15,1.17,<0.0001,4.72,0.03,<0.0001,<0.0001,0
703,Urinary Incontinence Hyperthyroidism (without hypo),Urinary Incontinence,Hyperthyroidism (without hypo),1.16,1.13,1.18,<0.0001,8.33,<0.0001,<0.0001,<0.0001,0
704,Erectile dysfunction Glaucoma,Erectile dysfunction,Glaucoma,1.16,1.14,1.18,<0.0001,2.02,0.16,<0.0001,<0.0001,0
705,Heart failure Enthesopathies of the upper body,Heart failure,Enthesopathies of the upper body,1.16,1.14,1.17,<0.0001,108.4,<0.0001,<0.0001,<0.0001,0
706,Chronic sinusitis Thromboembolic,Chronic sinusitis,Thromboembolic,1.16,1.13,1.18,<0.0001,1.59,0.21,<0.0001,<0.0001,0
707,Glaucoma Hyperplasia of prostate,Glaucoma,Hyperplasia of prostate,1.16,1.14,1.17,<0.0001,3.44,0.06,<0.0001,<0.0001,0
708,Gout Peptic ulcer disease,Gout,Peptic ulcer disease,1.16,1.14,1.18,<0.0001,75.47,<0.0001,<0.0001,<0.0001,0
709,Vitamin B12 deficiency anaemia Tinnitus,Vitamin B12 deficiency anaemia,Tinnitus,1.16,1.13,1.18,<0.0001,4.75,0.03,<0.0001,<0.0001,0
710,Hypothyroidism (without hyper) Hearing loss,Hypothyroidism (without hyper),Hearing loss,1.16,1.15,1.17,<0.0001,47.41,<0.0001,<0.0001,<0.0001,0
711,Hyperplasia of prostate Iron deficiency anaemia,Hyperplasia of prostate,Iron deficiency anaemia,1.16,1.14,1.18,<0.0001,136.98,<0.0001,<0.0001,<0.0001,0
712,Diabetes type 2 Spondylosis,Diabetes type 2,Spondylosis,1.16,1.15,1.17,<0.0001,172.63,<0.0001,<0.0001,<0.0001,0
713,Heart failure Hearing loss,Heart failure,Hearing loss,1.16,1.14,1.17,<0.0001,84.89,<0.0001,<0.0001,<0.0001,0
714,Ulcerative colitis Abdominal aortic aneurysm,Ulcerative colitis,Abdominal aortic aneurysm,1.16,1.02,1.31,0.02,0.42,0.52,0.02,0.02,0
715,Spondylolisthesis Primary Malignancy_Other Skin and subcutaneous tissue,Spondylolisthesis,Primary Malignancy_Other Skin and subcutaneous tissue,1.16,1.12,1.2,<0.0001,2.09,0.15,<0.0001,<0.0001,0
716,Erectile dysfunction Retinal detachments and breaks,Erectile dysfunction,Retinal detachments and breaks,1.16,1.12,1.2,<0.0001,1.93,0.16,<0.0001,<0.0001,0
717,Tendon disorders Hypothyroidism (without hyper),Tendon disorders,Hypothyroidism (without hyper),1.16,1.15,1.17,<0.0001,51.53,<0.0001,<0.0001,<0.0001,0
718,Asthma Urolithiasis,Asthma,Urolithiasis,1.16,1.14,1.18,<0.0001,2.53,0.11,<0.0001,<0.0001,0
719,Primary Malignancy_Other Skin and subcutaneous tissue Transient ischaemic attack,Primary Malignancy_Other Skin and subcutaneous tissue,Transient ischaemic attack,1.16,1.14,1.18,<0.0001,0.11,0.74,<0.0001,<0.0001,0
720,Ulcerative colitis Osteoarthritis (excl spine),Ulcerative colitis,Osteoarthritis (excl spine),1.16,1.13,1.19,<0.0001,6.74,0.01,<0.0001,<0.0001,0
721,Chronic kidney disease Intervertebral disc disorders,Chronic kidney disease,Intervertebral disc disorders,1.16,1.15,1.17,<0.0001,45.16,<0.0001,<0.0001,<0.0001,0
722,Hyperplasia of prostate Thromboembolic,Hyperplasia of prostate,Thromboembolic,1.16,1.14,1.18,<0.0001,6.98,0.01,<0.0001,<0.0001,0
723,Essential tremor Nonrheumatic valve disease,Essential tremor,Nonrheumatic valve disease,1.16,1.12,1.21,<0.0001,14.78,<0.0001,<0.0001,<0.0001,0
724,Atrial fibrillation Insomnia,Atrial fibrillation,Insomnia,1.16,1.15,1.17,<0.0001,111.32,<0.0001,<0.0001,<0.0001,0
725,Insomnia Primary Malignancy_Other Skin and subcutaneous tissue,Insomnia,Primary Malignancy_Other Skin and subcutaneous tissue,1.16,1.15,1.18,<0.0001,9.52,<0.0001,<0.0001,<0.0001,0
726,Retinal detachments and breaks Osteoporosis,Retinal detachments and breaks,Osteoporosis,1.16,1.13,1.2,<0.0001,0.91,0.34,<0.0001,<0.0001,0
727,Hyperthyroidism (without hypo) Glaucoma,Hyperthyroidism (without hypo),Glaucoma,1.16,1.13,1.2,<0.0001,2.37,0.12,<0.0001,<0.0001,0
728,Hypertension Peptic ulcer disease,Hypertension,Peptic ulcer disease,1.16,1.15,1.18,<0.0001,312.29,<0.0001,<0.0001,<0.0001,0
729,Insomnia Hypertension,Insomnia,Hypertension,1.16,1.16,1.17,<0.0001,9.66,<0.0001,<0.0001,<0.0001,0
730,Anxiety disorders Obesity,Anxiety disorders,Obesity,1.16,1.16,1.17,<0.0001,480.18,<0.0001,<0.0001,<0.0001,0
731,Psoriasis Migraine,Psoriasis,Migraine,1.16,1.14,1.19,<0.0001,9.41,<0.0001,<0.0001,<0.0001,0
732,Spondylosis Primary Malignancy_Other Skin and subcutaneous tissue,Spondylosis,Primary Malignancy_Other Skin and subcutaneous tissue,1.17,1.15,1.18,<0.0001,16.71,<0.0001,<0.0001,<0.0001,0
733,Fibromatoses Peripheral arterial disease,Fibromatoses,Peripheral arterial disease,1.17,1.13,1.2,<0.0001,12.66,<0.0001,<0.0001,<0.0001,0
734,Retinal detachments and breaks Sleep apnoea,Retinal detachments and breaks,Sleep apnoea,1.17,1.1,1.24,<0.0001,0.53,0.47,<0.0001,<0.0001,0
735,Ulcerative colitis Enthesopathies of the lower body,Ulcerative colitis,Enthesopathies of the lower body,1.17,1.13,1.21,<0.0001,0,0.95,<0.0001,<0.0001,0
736,Urinary Incontinence Nonrheumatic valve disease,Urinary Incontinence,Nonrheumatic valve disease,1.17,1.15,1.18,<0.0001,90.16,<0.0001,<0.0001,<0.0001,0
737,Alcohol Problems Diabetes type 2,Alcohol Problems,Diabetes type 2,1.17,1.15,1.18,<0.0001,63.36,<0.0001,<0.0001,<0.0001,0
738,Primary Malignancy_Prostate Retinal detachments and breaks,Primary Malignancy_Prostate,Retinal detachments and breaks,1.17,1.11,1.22,<0.0001,0.25,0.61,<0.0001,<0.0001,0
739,Bursitis Hypertension,Bursitis,Hypertension,1.17,1.16,1.18,<0.0001,6.44,0.01,<0.0001,<0.0001,0
740,Bursitis Primary Malignancy_Prostate,Bursitis,Primary Malignancy_Prostate,1.17,1.14,1.19,<0.0001,0.46,0.5,<0.0001,<0.0001,0
741,Enthesopathies of the lower body Peripheral arterial disease,Enthesopathies of the lower body,Peripheral arterial disease,1.17,1.14,1.19,<0.0001,2.69,0.1,<0.0001,<0.0001,0
742,Chronic kidney disease Asthma,Chronic kidney disease,Asthma,1.17,1.16,1.18,<0.0001,35.48,<0.0001,<0.0001,<0.0001,0
743,Spondylosis Hypothyroidism (without hyper),Spondylosis,Hypothyroidism (without hyper),1.17,1.15,1.18,<0.0001,66.02,<0.0001,<0.0001,<0.0001,0
744,Psoriasis Primary Malignancy_Bladder,Psoriasis,Primary Malignancy_Bladder,1.17,1.12,1.22,<0.0001,0.01,0.92,<0.0001,<0.0001,0
745,Ulcerative colitis Scoliosis,Ulcerative colitis,Scoliosis,1.17,1.07,1.28,<0.0001,0.1,0.76,<0.0001,<0.0001,0
746,Polymyalgia Rheumatica Tinnitus,Polymyalgia Rheumatica,Tinnitus,1.17,1.14,1.2,<0.0001,0.51,0.48,<0.0001,<0.0001,0
747,Peptic ulcer disease Obesity,Peptic ulcer disease,Obesity,1.17,1.15,1.19,<0.0001,522.53,<0.0001,<0.0001,<0.0001,0
748,Fibromatoses Asthma,Fibromatoses,Asthma,1.17,1.15,1.19,<0.0001,0.47,0.49,<0.0001,<0.0001,0
749,Enthesopathies of the lower body Hypertension,Enthesopathies of the lower body,Hypertension,1.17,1.16,1.18,<0.0001,2.85,0.09,<0.0001,<0.0001,0
750,Hypothyroidism (without hyper) Peripheral arterial disease,Hypothyroidism (without hyper),Peripheral arterial disease,1.17,1.14,1.2,<0.0001,26.64,<0.0001,<0.0001,<0.0001,0
751,Retinal detachments and breaks Raynaud's syndrome,Retinal detachments and breaks,Raynaud's syndrome,1.17,1.09,1.26,<0.0001,0.24,0.63,<0.0001,<0.0001,0
752,Primary Malignancy_Colorectal Diabetes type 2,Primary Malignancy_Colorectal,Diabetes type 2,1.17,1.15,1.19,<0.0001,13.37,<0.0001,<0.0001,<0.0001,0
753,Retinal detachments and breaks Primary Malignancy_Other Skin and subcutaneous tissue,Retinal detachments and breaks,Primary Malignancy_Other Skin and subcutaneous tissue,1.17,1.13,1.21,<0.0001,1.56,0.21,<0.0001,<0.0001,0
754,Enthesopathies of the upper body Retinal detachments and breaks,Enthesopathies of the upper body,Retinal detachments and breaks,1.17,1.15,1.2,<0.0001,1.74,0.19,<0.0001,<0.0001,0
755,Abdominal aortic aneurysm Urinary Incontinence,Abdominal aortic aneurysm,Urinary Incontinence,1.17,1.12,1.23,<0.0001,8.5,<0.0001,<0.0001,<0.0001,0
756,Insomnia Primary Malignancy_Breast,Insomnia,Primary Malignancy_Breast,1.17,1.15,1.19,<0.0001,30.53,<0.0001,<0.0001,<0.0001,0
757,Chronic kidney disease Insomnia,Chronic kidney disease,Insomnia,1.17,1.16,1.18,<0.0001,165.17,<0.0001,<0.0001,<0.0001,0
758,Psoriasis Hypothyroidism (without hyper),Psoriasis,Hypothyroidism (without hyper),1.17,1.15,1.19,<0.0001,5.18,0.02,<0.0001,<0.0001,0
759,Tinnitus Osteoporosis,Tinnitus,Osteoporosis,1.17,1.16,1.19,<0.0001,4.51,0.03,<0.0001,<0.0001,0
760,Alcohol Problems Essential tremor,Alcohol Problems,Essential tremor,1.17,1.12,1.23,<0.0001,12.01,<0.0001,<0.0001,<0.0001,0
761,Peptic ulcer disease Fibromatoses,Peptic ulcer disease,Fibromatoses,1.17,1.14,1.21,<0.0001,11.3,<0.0001,<0.0001,<0.0001,0
762,Heart failure Enthesopathies of the shoulder,Heart failure,Enthesopathies of the shoulder,1.17,1.16,1.19,<0.0001,89.93,<0.0001,<0.0001,<0.0001,0
763,Heart failure Primary Malignancy_Breast,Heart failure,Primary Malignancy_Breast,1.17,1.14,1.21,<0.0001,0.94,0.33,<0.0001,<0.0001,0
764,Female genital prolapse Fibromatoses,Female genital prolapse,Fibromatoses,1.17,1.14,1.21,<0.0001,1.64,0.2,<0.0001,<0.0001,0
765,Allergic and chronic rhinitis Primary Malignancy_Other Skin and subcutaneous tissue,Allergic and chronic rhinitis,Primary Malignancy_Other Skin and subcutaneous tissue,1.17,1.16,1.19,<0.0001,26.03,<0.0001,<0.0001,<0.0001,0
766,Allergic and chronic rhinitis Hypothyroidism (without hyper),Allergic and chronic rhinitis,Hypothyroidism (without hyper),1.17,1.16,1.19,<0.0001,3.64,0.06,<0.0001,<0.0001,0
767,Diabetes type 2 Nonrheumatic valve disease,Diabetes type 2,Nonrheumatic valve disease,1.17,1.16,1.19,<0.0001,75.88,<0.0001,<0.0001,<0.0001,0
768,Nonrheumatic valve disease Retinal detachments and breaks,Nonrheumatic valve disease,Retinal detachments and breaks,1.17,1.13,1.22,<0.0001,0.01,0.9,<0.0001,<0.0001,0
769,Nonrheumatic valve disease Primary Malignancy_Other Skin and subcutaneous tissue,Nonrheumatic valve disease,Primary Malignancy_Other Skin and subcutaneous tissue,1.18,1.16,1.19,<0.0001,0.63,0.43,<0.0001,<0.0001,0
770,Enthesopathies of the upper body Ulcerative colitis,Enthesopathies of the upper body,Ulcerative colitis,1.18,1.15,1.21,<0.0001,1.8,0.18,<0.0001,<0.0001,0
771,Hyperthyroidism (without hypo) Gastro-oesophageal reflux disease,Hyperthyroidism (without hypo),Gastro-oesophageal reflux disease,1.18,1.15,1.2,<0.0001,20.84,<0.0001,<0.0001,<0.0001,0
772,Bursitis Retinal detachments and breaks,Bursitis,Retinal detachments and breaks,1.18,1.14,1.21,<0.0001,0.04,0.84,<0.0001,<0.0001,0
773,Cataract Psoriasis,Cataract,Psoriasis,1.18,1.16,1.19,<0.0001,0.43,0.51,<0.0001,<0.0001,0
774,Urolithiasis Rheumatoid Arthritis,Urolithiasis,Rheumatoid Arthritis,1.18,1.13,1.23,<0.0001,14.09,<0.0001,<0.0001,<0.0001,0
775,"Schizophrenia, schizotypal and delusional disorders Heart failure","Schizophrenia, schizotypal and delusional disorders",Heart failure,1.18,1.12,1.24,<0.0001,9.66,<0.0001,<0.0001,<0.0001,0
776,Spondylosis Primary Malignancy_Prostate,Spondylosis,Primary Malignancy_Prostate,1.18,1.15,1.2,<0.0001,17.93,<0.0001,<0.0001,<0.0001,0
777,Primary Malignancy_Other Skin and subcutaneous tissue Erectile dysfunction,Primary Malignancy_Other Skin and subcutaneous tissue,Erectile dysfunction,1.18,1.16,1.19,<0.0001,0.58,0.44,<0.0001,<0.0001,0
778,Anxiety disorders Fibromatoses,Anxiety disorders,Fibromatoses,1.18,1.16,1.2,<0.0001,3.33,0.07,<0.0001,<0.0001,0
779,Glaucoma Allergic and chronic rhinitis,Glaucoma,Allergic and chronic rhinitis,1.18,1.16,1.19,<0.0001,2.03,0.15,<0.0001,<0.0001,0
780,Primary Malignancy_Colorectal Alcohol Problems,Primary Malignancy_Colorectal,Alcohol Problems,1.18,1.14,1.22,<0.0001,9.75,<0.0001,<0.0001,<0.0001,0
781,Primary Malignancy_Other Skin and subcutaneous tissue Osteoarthritis (excl spine),Primary Malignancy_Other Skin and subcutaneous tissue,Osteoarthritis (excl spine),1.18,1.17,1.19,<0.0001,22.68,<0.0001,<0.0001,<0.0001,0
782,Hyperplasia of prostate Peptic ulcer disease,Hyperplasia of prostate,Peptic ulcer disease,1.18,1.16,1.2,<0.0001,35.1,<0.0001,<0.0001,<0.0001,0
783,Tinnitus Ulcerative colitis,Tinnitus,Ulcerative colitis,1.18,1.13,1.23,<0.0001,0.56,0.45,<0.0001,<0.0001,0
784,Asthma Alcohol Problems,Asthma,Alcohol Problems,1.18,1.16,1.2,<0.0001,65.39,<0.0001,<0.0001,<0.0001,0
785,Atrial fibrillation Primary Malignancy_Other Skin and subcutaneous tissue,Atrial fibrillation,Primary Malignancy_Other Skin and subcutaneous tissue,1.18,1.17,1.19,<0.0001,7.58,0.01,<0.0001,<0.0001,0
786,Thromboembolic Alcohol Problems,Thromboembolic,Alcohol Problems,1.18,1.15,1.21,<0.0001,0.08,0.77,<0.0001,<0.0001,0
787,Female genital prolapse Ischaemic stroke and TIA,Female genital prolapse,Ischaemic stroke and TIA,1.18,1.16,1.2,<0.0001,13.08,<0.0001,<0.0001,<0.0001,0
788,Ischaemic stroke and TIA Asthma,Ischaemic stroke and TIA,Asthma,1.18,1.16,1.2,<0.0001,40.38,<0.0001,<0.0001,<0.0001,0
789,Gout COPD,Gout,COPD,1.18,1.16,1.2,<0.0001,7.68,0.01,<0.0001,<0.0001,0
790,Vitamin B12 deficiency anaemia Allergic and chronic rhinitis,Vitamin B12 deficiency anaemia,Allergic and chronic rhinitis,1.18,1.16,1.2,<0.0001,10.13,<0.0001,<0.0001,<0.0001,0
791,Hyperthyroidism (without hypo) Diverticular disease of intestine (acute and chronic),Hyperthyroidism (without hypo),Diverticular disease of intestine (acute and chronic),1.18,1.15,1.21,<0.0001,0.61,0.43,<0.0001,<0.0001,0
792,Atrial fibrillation Enthesopathies of the lower body,Atrial fibrillation,Enthesopathies of the lower body,1.18,1.17,1.19,<0.0001,154.05,<0.0001,<0.0001,<0.0001,0
793,Hypertension Polymyalgia Rheumatica,Hypertension,Polymyalgia Rheumatica,1.18,1.16,1.2,<0.0001,16.37,<0.0001,<0.0001,<0.0001,0
794,Vitamin B12 deficiency anaemia Primary Malignancy_Bladder,Vitamin B12 deficiency anaemia,Primary Malignancy_Bladder,1.18,1.12,1.24,<0.0001,1.05,0.3,<0.0001,<0.0001,0
795,Depression Fibromatoses,Depression,Fibromatoses,1.18,1.16,1.2,<0.0001,0.05,0.82,<0.0001,<0.0001,0
796,Primary Malignancy_Bladder Ulcerative colitis,Primary Malignancy_Bladder,Ulcerative colitis,1.18,1.06,1.31,<0.0001,0.07,0.79,<0.0001,<0.0001,0
797,Polymyalgia Rheumatica Transient ischaemic attack,Polymyalgia Rheumatica,Transient ischaemic attack,1.18,1.15,1.22,<0.0001,0.36,0.55,<0.0001,<0.0001,0
798,Gastro-oesophageal reflux disease Gout,Gastro-oesophageal reflux disease,Gout,1.18,1.17,1.2,<0.0001,14.82,<0.0001,<0.0001,<0.0001,0
799,Polymyalgia Rheumatica Obesity,Polymyalgia Rheumatica,Obesity,1.18,1.16,1.2,<0.0001,9.81,<0.0001,<0.0001,<0.0001,0
800,Nonrheumatic valve disease Allergic and chronic rhinitis,Nonrheumatic valve disease,Allergic and chronic rhinitis,1.18,1.17,1.2,<0.0001,22.24,<0.0001,<0.0001,<0.0001,0
801,Heart failure Intervertebral disc disorders,Heart failure,Intervertebral disc disorders,1.18,1.16,1.21,<0.0001,47.09,<0.0001,<0.0001,<0.0001,0
802,Enthesopathies of the lower body Primary Malignancy_Prostate,Enthesopathies of the lower body,Primary Malignancy_Prostate,1.18,1.16,1.21,<0.0001,5.48,0.02,<0.0001,<0.0001,0
803,Primary Malignancy_Other Skin and subcutaneous tissue Gastro-oesophageal reflux disease,Primary Malignancy_Other Skin and subcutaneous tissue,Gastro-oesophageal reflux disease,1.18,1.17,1.2,<0.0001,1.64,0.2,<0.0001,<0.0001,0
804,All stroke Hearing loss,All stroke,Hearing loss,1.18,1.17,1.2,<0.0001,0.05,0.82,<0.0001,<0.0001,0
805,Nonrheumatic valve disease Depression,Nonrheumatic valve disease,Depression,1.18,1.17,1.2,<0.0001,85.68,<0.0001,<0.0001,<0.0001,0
806,Primary Malignancy_Bladder Sleep apnoea,Primary Malignancy_Bladder,Sleep apnoea,1.18,1.12,1.25,<0.0001,10.66,<0.0001,<0.0001,<0.0001,0
807,Primary Malignancy_Prostate Chronic sinusitis,Primary Malignancy_Prostate,Chronic sinusitis,1.18,1.15,1.22,<0.0001,0.1,0.76,<0.0001,<0.0001,0
808,Retinal detachments and breaks Ulcerative colitis,Retinal detachments and breaks,Ulcerative colitis,1.18,1.08,1.3,<0.0001,0.05,0.82,<0.0001,<0.0001,0
