"","p1","p2","rg","rg_lci","rg_uci","rg_se","rg_p","rg_p_fdr_heatmap","p_fdr_scatter","p1_icd_chapter_name","p2_icd_chapter_name","p1_data_sources","p2_data_sources","within_domain"
"688","Gastro-oesophageal reflux disease","Spondylolisthesis",0.27,0.16,0.39,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"689","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Cholelithiasis",0.27,0.15,0.39,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the digestive system","1","1, 2",0
"690","Bursitis","Coronary Heart Disease",0.19,0.1,0.28,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","2, 3",0
"691","Transient ischaemic attack","Diabetes type 2",0.27,0.2,0.34,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Endocrine, nutritional and metabolic diseases","1, 2","2, 3",0
"692","Heart failure","Abdominal aortic aneurysm",0.27,0.18,0.37,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1, 2",1
"693","Heart failure","Psoriasis",0.27,0.19,0.36,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the skin and subcutaneous tissue","2, 3","1, 2",0
"694","Bursitis","Atrial fibrillation",0.15,0.05,0.25,0.05,"<0.0001","0.01","0.01","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","2, 3",0
"695","Depression","Enthesopathies of the upper body",0.27,0.21,0.34,0.03,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the musculoskeletal system and connective tissue","3","1",0
"696","Heart failure","Chronic kidney disease",0.27,0.2,0.35,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the genitourinary system","2, 3","1, 3",0
"697","Peptic ulcer disease","Migraine",0.27,0.19,0.36,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the nervous system","1, 2","1, 2, 3",0
"698","Tendon disorders","Ischaemic stroke and TIA",0.27,0.14,0.4,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1, 2","1",0
"699","Bursitis","Chronic kidney disease",0.15,0.03,0.27,0.06,"0.02","0.03","0.03","Diseases of the musculoskeletal system and connective tissue","Diseases of the genitourinary system","1","1, 3",0
"700","Carpal tunnel syndrome","Ischaemic stroke and TIA",0.21,0.11,0.31,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the circulatory system","1, 2","1",0
"701","Carpal tunnel syndrome","Thromboembolic",0.12,0.06,0.18,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the circulatory system","1, 2","1, 2",0
"702","Spondylosis","Abdominal aortic aneurysm",0.27,0.15,0.39,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","1, 2",0
"703","Diabetes type 2","Urinary Incontinence",0.27,0.22,0.33,0.03,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the genitourinary system","2, 3","1",0
"704","Anxiety disorders","Ischaemic stroke and TIA",0.27,0.17,0.37,0.05,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the circulatory system","1, 2","1",0
"705","Gout","Coronary Heart Disease",0.27,0.23,0.32,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1, 2, 3","2, 3",0
"706","Gastritis and duodeniti","Female genital prolapse",0.27,0.2,0.34,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the genitourinary system","1","1, 2",0
"707","Carpal tunnel syndrome","Alcohol Problems",0.12,0.04,0.19,0.04,"<0.0001","0.01","0.01","Diseases of the nervous system","Mental and behavioural disorders","1, 2","1",0
"708","Depression","Ischaemic stroke and TIA",0.27,0.17,0.37,0.05,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the circulatory system","3","1",0
"709","Carpal tunnel syndrome","Tinnitus",0.11,0.03,0.18,0.04,"0.01","0.01","0.01","Diseases of the nervous system","Diseases of the ear and mastoid process","1, 2","1, 2",0
"710","Tinnitus","Gastro-oesophageal reflux disease",0.27,0.19,0.35,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the ear and mastoid process","Diseases of the digestive system","1, 2","2, 3",0
"711","Psoriasis","Gastritis and duodeniti",0.27,0.18,0.36,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the skin and subcutaneous tissue","Diseases of the digestive system","1, 2","1",0
"712","Thromboembolic","Sleep apnoea",0.27,0.2,0.34,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the nervous system","1, 2","1, 2",0
"713","Carpal tunnel syndrome","Atrial fibrillation",0.09,0.04,0.14,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the circulatory system","1, 2","2, 3",0
"714","Tendon disorders","Polymyalgia Rheumatica",0.27,0.11,0.42,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",1
"715","Carpal tunnel syndrome","Hyperplasia of prostate",0.06,0.01,0.12,0.03,"0.03","0.04","0.04","Diseases of the nervous system","Diseases of the genitourinary system","1, 2","1, 2",0
"716","Intervertebral disc disorders","Diverticular disease of intestine (acute and chronic)",0.27,0.22,0.31,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1, 2","1, 2",0
"717","Atrial fibrillation","Peripheral arterial disease",0.27,0.17,0.36,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1",1
"718","Obesity","Diverticular disease of intestine (acute and chronic)",0.27,0.23,0.31,0.02,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the digestive system","1, 2","1, 2",0
"719","Osteoarthritis (excl spine)","Depression",0.27,0.22,0.31,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Mental and behavioural disorders","2, 3","3",0
"720","Cataract","Irritable bowel syndrome",0.2,0.08,0.32,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the eye and adnexa","Diseases of the digestive system","1, 2","2, 3",0
"721","Tendon disorders","Diverticular disease of intestine (acute and chronic)",0.27,0.21,0.32,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1, 2","1, 2",0
"722","Cataract","Transient ischaemic attack",0.17,0.08,0.26,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the eye and adnexa","Diseases of the circulatory system","1, 2","1, 2",0
"723","Anxiety disorders","Peripheral arterial disease",0.27,0.16,0.37,0.06,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the circulatory system","1, 2","1",0
"724","Nonrheumatic valve disease","Sleep apnoea",0.27,0.19,0.34,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the nervous system","1, 2","1, 2",0
"725","Heart failure","Thromboembolic",0.27,0.19,0.34,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1, 2",1
"726","Depression","Allergic and chronic rhinitis",0.26,0.21,0.32,0.03,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the respiratory system","3","1, 2",0
"727","Tinnitus","Enthesopathies of the shoulder",0.26,0.15,0.38,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the ear and mastoid process","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"728","Allergic and chronic rhinitis","Enthesopathies of the shoulder",0.26,0.18,0.34,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"729","Psoriasis","Obesity",0.26,0.21,0.32,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the skin and subcutaneous tissue","Endocrine, nutritional and metabolic diseases","1, 2","1, 2",0
"730","Rheumatoid Arthritis","Transient ischaemic attack",0.26,0.15,0.38,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","3","1, 2",0
"731","Enthesopathies of the lower body","Diverticular disease of intestine (acute and chronic)",0.26,0.17,0.35,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1, 2","1, 2",0
"732","Thromboembolic","Osteoarthritis (excl spine)",0.26,0.19,0.33,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","1, 2","2, 3",0
"733","Transient ischaemic attack","Chronic kidney disease",0.26,0.15,0.38,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the genitourinary system","1, 2","1, 3",0
"734","Cataract","Bursitis",0.14,0.02,0.25,0.06,"0.02","0.03","0.03","Diseases of the eye and adnexa","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"735","Tendon disorders","Coronary Heart Disease",0.26,0.21,0.31,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1, 2","2, 3",0
"736","Ischaemic stroke and TIA","Asthma",0.26,0.16,0.37,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the respiratory system","1","2, 3",0
"737","Iron deficiency anaemia","Carpal tunnel syndrome",0.26,0.18,0.35,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the nervous system","1","1, 2",0
"738","Osteoarthritis (excl spine)","Hypertension",0.26,0.22,0.31,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","2, 3","1, 2",0
"739","Cataract","Enthesopathies of the lower body",0.13,0.04,0.21,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the eye and adnexa","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"740","Enthesopathies of the upper body","Sleep apnoea",0.26,0.19,0.33,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the nervous system","1","1, 2",0
"741","Cataract","Chronic sinusitis",0.12,0.02,0.23,0.06,"0.03","0.04","0.04","Diseases of the eye and adnexa","Diseases of the respiratory system","1, 2","1",0
"742","Osteoarthritis (excl spine)","Nonrheumatic valve disease",0.26,0.19,0.33,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","2, 3","1, 2",0
"743","Fibromyalgia","Hypertension",0.26,0.18,0.35,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","1, 2",0
"744","Cataract","Psoriasis",0.12,0.05,0.19,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the eye and adnexa","Diseases of the skin and subcutaneous tissue","1, 2","1, 2",0
"745","COPD","Diverticular disease of intestine (acute and chronic)",0.26,0.21,0.31,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the digestive system","1, 2","1, 2",0
"746","Fibromyalgia","Hearing loss",0.26,0.15,0.37,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the ear and mastoid process","1","3",0
"747","Abdominal aortic aneurysm","Migraine",0.26,0.17,0.35,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the nervous system","1, 2","1, 2, 3",0
"748","Bursitis","Primary Malignancy_Bladder",0.26,0.01,0.51,0.13,"0.04","0.07","0.07","Diseases of the musculoskeletal system and connective tissue","Neoplasms","1","1",0
"749","Peripheral arterial disease","Asthma",0.26,0.17,0.35,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the respiratory system","1","2, 3",0
"750","Cataract","Abdominal aortic aneurysm",0.11,0.02,0.2,0.05,"0.02","0.03","0.03","Diseases of the eye and adnexa","Diseases of the circulatory system","1, 2","1, 2",0
"751","Thromboembolic","Gastritis and duodeniti",0.26,0.18,0.34,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the digestive system","1, 2","1",0
"752","Osteoarthritis (excl spine)","Diverticular disease of intestine (acute and chronic)",0.26,0.22,0.3,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","2, 3","1, 2",0
"753","Alcohol Problems","Enthesopathies of the upper body",0.26,0.15,0.37,0.06,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the musculoskeletal system and connective tissue","1","1",0
"754","Irritable bowel syndrome","Primary Malignancy_Bladder",0.26,-0.02,0.53,0.14,"0.07","0.1","0.1","Diseases of the digestive system","Neoplasms","2, 3","1",0
"755","Asthma","Heart failure",0.26,0.2,0.31,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the circulatory system","2, 3","2, 3",0
"756","Iron deficiency anaemia","Intervertebral disc disorders",0.26,0.16,0.35,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"757","Atrial fibrillation","Obesity",0.26,0.21,0.3,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Endocrine, nutritional and metabolic diseases","2, 3","1, 2",0
"758","Coronary Heart Disease","Chronic kidney disease",0.26,0.2,0.32,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the genitourinary system","2, 3","1, 3",0
"759","Cataract","Gout",0.09,0.03,0.14,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the eye and adnexa","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2, 3",0
"760","Cataract","Diverticular disease of intestine (acute and chronic)",0.08,0.03,0.12,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the eye and adnexa","Diseases of the digestive system","1, 2","1, 2",0
"761","Cataract","Migraine",0.06,0.01,0.11,0.03,"0.02","0.03","0.03","Diseases of the eye and adnexa","Diseases of the nervous system","1, 2","1, 2, 3",0
"762","Polymyalgia Rheumatica","Sleep apnoea",0.26,0.14,0.37,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the nervous system","1","1, 2",0
"763","All stroke","Hyperthyroidism (without hypo)",0.26,0.14,0.37,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Endocrine, nutritional and metabolic diseases","1, 2","1, 2",0
"764","Cholelithiasis","Bursitis",0.19,0.06,0.32,0.07,"<0.0001","0.01","0.01","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"765","Gastro-oesophageal reflux disease","Osteoporosis",0.26,0.19,0.32,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"766","Carpal tunnel syndrome","Asthma",0.25,0.2,0.31,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the respiratory system","1, 2","2, 3",0
"767","Migraine","All stroke",0.25,0.18,0.33,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the circulatory system","1, 2, 3","1, 2",0
"768","Gout","Transient ischaemic attack",0.25,0.18,0.33,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1, 2, 3","1, 2",0
"769","Cholelithiasis","Transient ischaemic attack",0.19,0.09,0.28,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the circulatory system","1, 2","1, 2",0
